Classifier Name,Dataset,Balanced Train Set,Number of training samples,Number of non-healthy companies,TP,TN,FP,FN,ROC-AUC
Linear Discriminant Analysis,Train,Yes,744,186,79,523,35,107,0.8669306663583459
Linear Discriminant Analysis,Test,Yes,744,186,31,2399,218,31,0.8303339208894697
Logistic Regression,Train,Yes,744,186,69,526,32,117,0.8654083323698308
Logistic Regression,Test,Yes,744,186,30,2431,186,32,0.8348700186127923
Decision Tree,Train,Yes,744,186,186,558,0,0,1.0
Decision Tree,Test,Yes,744,186,35,2149,468,27,0.6928427034156323
Random Forest,Train,Yes,744,186,186,558,0,0,1.0
Random Forest,Test,Yes,744,186,31,2382,235,31,0.8688969147139669
KNN,Train,Yes,744,186,115,517,41,71,0.9147926542567542
KNN,Test,Yes,744,186,33,2311,306,29,0.8202201486558114
Naive Bayes,Train,Yes,744,186,86,504,54,100,0.8509172544032065
Naive Bayes,Test,Yes,744,186,30,2318,299,32,0.8240105020523377
Support Vector Machines,Train,Yes,744,186,95,528,30,91,0.8959802674683008
Support Vector Machines,Test,Yes,744,186,32,2422,195,30,0.8473319609994207
Linear Support Vector Machines,Train,Yes,744,186,75,532,26,111,0.8665741704243266
Linear Support Vector Machines,Test,Yes,744,186,28,2448,169,34,0.8289718589372218
Linear Discriminant Analysis,Train,Yes,744,186,70,522,36,116,0.8341137703780784
Linear Discriminant Analysis,Test,Yes,744,186,31,2438,179,31,0.8677012585205912
Logistic Regression,Train,Yes,744,186,57,529,29,129,0.8314737734612865
Logistic Regression,Test,Yes,744,186,27,2473,144,35,0.8588262847140903
Decision Tree,Train,Yes,744,186,186,558,0,0,1.0
Decision Tree,Test,Yes,744,186,28,2148,469,34,0.6362000320485165
Random Forest,Train,Yes,744,186,186,558,0,0,1.0
Random Forest,Test,Yes,744,186,37,2444,173,25,0.8950349452093632
KNN,Train,Yes,744,186,108,519,39,78,0.9083612749065404
KNN,Test,Yes,744,186,31,2354,263,31,0.8459760622234276
Naive Bayes,Train,Yes,744,186,102,491,67,84,0.8264346552587968
Naive Bayes,Test,Yes,744,186,43,2265,352,19,0.8437449924192931
Support Vector Machines,Train,Yes,744,186,70,540,18,116,0.8730344548502718
Support Vector Machines,Test,Yes,744,186,28,2501,116,34,0.8503519173641327
Linear Support Vector Machines,Train,Yes,744,186,48,537,21,138,0.8341041353528347
Linear Support Vector Machines,Test,Yes,744,186,25,2504,113,37,0.8651373771987131
Linear Discriminant Analysis,Train,Yes,744,186,81,518,40,105,0.8501079122827302
Linear Discriminant Analysis,Test,Yes,744,186,19,2435,182,43,0.7963008616120404
Logistic Regression,Train,Yes,744,186,71,526,32,115,0.8484217828650711
Logistic Regression,Test,Yes,744,186,14,2452,165,48,0.7955304645802261
Decision Tree,Train,Yes,744,186,186,558,0,0,1.0
Decision Tree,Test,Yes,744,186,24,2235,382,38,0.6205640538908133
Random Forest,Train,Yes,744,186,186,558,0,0,1.0
Random Forest,Test,Yes,744,186,22,2438,179,40,0.7788960518692915
KNN,Train,Yes,744,186,111,521,37,75,0.91273557636721
KNN,Test,Yes,744,186,17,2371,246,45,0.7270329236875517
Naive Bayes,Train,Yes,744,186,92,480,78,94,0.8265406405364782
Naive Bayes,Test,Yes,744,186,22,2290,327,40,0.7709640440297311
Support Vector Machines,Train,Yes,744,186,85,535,23,101,0.8835029097776236
Support Vector Machines,Test,Yes,744,186,15,2477,140,47,0.7947723939009208
Linear Support Vector Machines,Train,Yes,744,186,67,527,31,119,0.8501271823332177
Linear Support Vector Machines,Test,Yes,744,186,16,2466,151,46,0.7968863633562193
Linear Discriminant Analysis,Train,Yes,744,186,77,528,30,109,0.8477569661232511
Linear Discriminant Analysis,Test,Yes,744,186,21,2422,195,41,0.850666239353113
Logistic Regression,Train,Yes,744,186,72,531,27,114,0.8442883570354954
Logistic Regression,Test,Yes,744,186,20,2445,172,42,0.846567727143861
Decision Tree,Train,Yes,744,186,186,558,0,0,1.0
Decision Tree,Test,Yes,744,186,29,2185,432,33,0.651333711341477
Random Forest,Train,Yes,744,186,186,558,0,0,1.0
Random Forest,Test,Yes,744,186,30,2421,196,32,0.8643484906381353
KNN,Train,Yes,744,186,113,536,22,73,0.9228186302848114
KNN,Test,Yes,744,186,31,2337,280,31,0.8079431015568184
Naive Bayes,Train,Yes,744,186,98,498,60,88,0.8212702817281381
Naive Bayes,Test,Yes,744,186,32,2302,315,30,0.8387713091819
Support Vector Machines,Train,Yes,744,186,86,539,19,100,0.8917890314872625
Support Vector Machines,Test,Yes,744,186,24,2439,178,38,0.8502286538390424
Linear Support Vector Machines,Train,Yes,744,186,66,534,24,120,0.8458877712259607
Linear Support Vector Machines,Test,Yes,744,186,20,2478,139,42,0.853122265090537
